,Nom,Age,Nationalité,General,Potentiel,Club,Valeur,Salaire
0,Fábio Leandro Carvalho,19,Portugal,74,86,Liverpool,€10M,€41K
1,Lyanco Neves Vojnovic,25,Brazil,72,79,Southampton,€4.3M,€30K
2,Aaron Lennon,34,England,74,74,Burnley,€2M,€30K
3,Alan Varela,20,Argentina,76,86,Boca Juniors,€15.5M,€11K
4,Mykhailo Mudryk,21,Ukraine,75,85,Shakhtar Donetsk,€12.5M,€750
5,Alejandro Garnacho Ferreyra,18,Argentina,64,84,Manchester United,€1.6M,€9K
6,Wayne Rooney,34,England,76,76,Derby County,€3.5M,€29K
7,C. Ronaldo dos Santos Aveiro,37,Portugal,90,90,Manchester United,€41M,€220K
8,Exequiel Zeballos,20,Argentina,72,85,Boca Juniors,€5.5M,€10K
9,Karim Adeyemi,20,Germany,75,87,Borussia Dortmund,€13.5M,€31K
10,Malo Gusto,19,France,75,85,Olympique Lyonnais,€11.5M,€24K
11,Youssoufa Moukoko,17,Germany,71,89,Borussia Dortmund,€4.7M,€6K
12,Rafael da Conceição Leão,23,Portugal,84,90,AC Milan,€66.5M,€90K
13,Khvicha Kvaratskhelia,21,Georgia,78,86,Napoli,€31.5M,€42K
14,Jamal Musiala,19,Germany,82,91,FC Bayern München,€66M,€43K
15,Castello Lukeba,19,France,76,86,Olympique Lyonnais,€15M,€25K
16,Antony Matheus dos Santos,22,Brazil,82,88,Manchester United,€49M,€130K
17,Min Jae Kim,25,Korea Republic,79,83,Napoli,€22M,€49K
18,Darwin Núñez,23,Uruguay,82,89,Liverpool,€61.5M,€120K
19,Piero Hincapié,20,Ecuador,78,85,Bayer 04 Leverkusen,€26.5M,€33K
20,Akram Afif,25,Qatar,76,78,,€0,€0
21,Marcus Thuram,24,France,79,84,Borussia Mönchengladbach,€27M,€32K
22,Noah Okafor,22,Switzerland,76,83,FC Red Bull Salzburg,€15.5M,€26K
23,Xavi Simons,19,Netherlands,75,87,PSV,€13.5M,€10K
24,Benjamin Pavard,26,France,80,82,FC Bayern München,€24M,€59K
25,Harvey Elliott,19,England,75,87,Liverpool,€13.5M,€44K
26,António João Tavares Silva,18,Portugal,72,87,SL Benfica,€5M,€2K
27,Enzo Fernández,21,Argentina,79,87,SL Benfica,€39.5M,€13K
28,Kouadio Manu Koné,21,France,77,86,Borussia Mönchengladbach,€23.5M,€21K
29,Fabio Miretti,18,Italy,73,88,Juventus,€7M,€22K
30,Joško Gvardiol,20,Croatia,81,89,RB Leipzig,€53M,€41K
31,Federico Valverde,23,Uruguay,85,90,Real Madrid CF,€81M,€190K
32,Christopher Nkunku,24,France,86,89,RB Leipzig,€94M,€90K
33,Lionel Messi,35,Argentina,91,91,Paris Saint-Germain,€54M,€195K
34,Jeremie Frimpong,21,Netherlands,80,86,Bayer 04 Leverkusen,€31.5M,€38K
35,Michael Olise,20,France,76,83,Crystal Palace,€15M,€40K
36,Erling Haaland,21,Norway,89,94,Manchester City,€160M,€230K
37,Nicholas Williams Arthuer,19,Spain,75,87,Athletic Club de Bilbao,€13.5M,€14K
38,Antonio Nusa,17,Norway,68,88,Club Brugge KV,€3.3M,€2K
39,Ivan Toney,26,England,78,80,Brentford,€17.5M,€55K
40,Nico Schlotterbeck,22,Germany,82,88,Borussia Dortmund,€44.5M,€47K
41,Florian Wirtz,19,Germany,82,91,Bayer 04 Leverkusen,€66M,€38K
42,Dušan Vlahović,22,Serbia,84,91,Juventus,€86.5M,€140K
43,Bruno Guimarães Moura,24,Brazil,82,87,Newcastle United,€46M,€95K
44,Pedro González López,19,Spain,85,92,FC Barcelona,€104.5M,€115K
45,Kylian Mbappé,23,France,91,95,Paris Saint-Germain,€190.5M,€230K
46,Moisés Caicedo,20,Ecuador,73,82,Brighton & Hove Albion,€6.5M,€30K
47,Destiny Udogie,19,Italy,76,89,Udinese Calcio,€17M,€34K
48,Tino Livramento,19,England,75,85,Southampton,€11.5M,€22K
49,Jude Bellingham,19,England,84,91,Borussia Dortmund,€81.5M,€41K
50,Armel Bella Kotchap,20,Germany,74,83,Southampton,€8.5M,€28K
51,Gonçalo Bernardo Inácio,20,Portugal,79,88,Sporting CP,€36M,€11K
52,Alberto Moleiro González,18,Spain,74,87,Unión Deportiva Las Palmas,€10M,€3K
53,Gavin Bazunu,20,Republic of Ireland,70,84,Southampton,€3.4M,€13K
54,Jurriën Timber,21,Netherlands,80,88,Ajax,€44.5M,€14K
55,Calvin Bassey,22,Nigeria,75,85,Ajax,€12M,€12K
56,Giorgio Scalvini,18,Italy,70,85,Atalanta,€3.5M,€6K
57,Neymar da Silva Santos Jr.,30,Brazil,89,89,Paris Saint-Germain,€99.5M,€200K
58,Dominik Szoboszlai,21,Hungary,80,87,RB Leipzig,€43M,€43K
59,Yeremy Jesús Pino Santos,19,Spain,79,88,Villarreal CF,€38M,€21K
60,Danilo Luiz da Silva,30,Brazil,81,81,Juventus,€22M,€100K
61,Santiago Giménez,21,Mexico,75,84,Feyenoord,€12.5M,€9K
62,Nuno Alexandre Tavares Mendes,20,Portugal,80,88,Paris Saint-Germain,€44M,€54K
63,Armando Broja,20,Albania,75,83,Chelsea,€12.5M,€64K
64,Pablo Martín Páez Gavira,17,Spain,79,87,FC Barcelona,€36M,€17K
65,Alexis Vega,24,Mexico,77,83,,€0,€0
66,Phil Foden,22,England,85,92,Manchester City,€109.5M,€180K
67,Trent Alexander-Arnold,23,England,86,89,Liverpool,€86M,€140K
68,Benjamin White,24,England,80,86,Arsenal,€30M,€69K
69,Sandro Tonali,22,Italy,84,90,AC Milan,€62.5M,€75K
70,Lutsharel Geertruida,21,Netherlands,77,85,Feyenoord,€22.5M,€8K
71,Alphonso Davies,21,Canada,84,89,FC Bayern München,€60.5M,€59K
72,Vinícius José de Oliveira Júnior,21,Brazil,86,92,Real Madrid CF,€109M,€200K
73,Davide Frattesi,22,Italy,78,87,U.S. Sassuolo Calcio,€31.5M,€30K
74,João Félix Sequeira,22,Portugal,83,89,Atlético de Madrid,€59M,€71K
75,Giovanni Reyna,19,United States,77,86,Borussia Dortmund,€23M,€24K
76,Charles De Ketelaere,21,Belgium,78,88,AC Milan,€32M,€49K
77,Manuel Ugarte,21,Uruguay,78,85,Sporting CP,€28.5M,€12K
78,Rodrigo Javier De Paul,28,Argentina,84,84,Atlético de Madrid,€42M,€85K
79,Marc Guéhi,21,England,78,86,Crystal Palace,€29.5M,€36K
80,Ronald Araujo,23,Uruguay,83,89,FC Barcelona,€52M,€135K
81,Nicola Zalewski,20,Poland,75,87,Roma,€13.5M,€37K
82,João Maria Palhinha Gonçalves,26,Portugal,81,83,Fulham,€28.5M,€66K
